Invoice_Number__c,Invoice_Plant__c,Invoice_Customer_Code__c,Invoice_Customer_Name__c,Invoice_Sales_Org__c,Invoice_Division__c,Invoice_Sales_Group__c,Invoice_Sales_Office__c,Customer_Group__c,Invoice_District__c,Invoice_City__c,Invoice_Date__c,SO_Customer_Ref__c,SO_Customer_Ref_Date__c,Sales_Order_Number__c,Quotation_Number__c,City_Code_Diag__c
9200029318,3200,3020000482,AH Traders,3000,30,Z07,2000,5,2000,Lahore,2022-01-13,22/C01,2022-01-11,3000026255,2900015004,LHR
9200029319,3200,3020000237,Amir Scientific Store,3000,30,Z07,2000,5,2000,Multan,2022-01-13,AMS-0012-22,2022-01-06,3000026244,2900014991,MLT
9200029320,3200,3020001792,Fauji Foundation Hospital,3000,30,Z09,3000,6,1000,Rawalpindi,2022-01-13,"2022-14, FFH, JHELUM",2022-01-03,3000026132,2900014944,RWP
9200029321,3300,3020001274,Scientific Marketing,3000,30,Z01,1000,5,3000,Karachi,2022-01-13,SM-10.01.2022-01,2022-01-11,3000026237,2900014992,KHI
9200029322,3300,3020000709,Eastern Scientific,3000,30,Z01,1000,5,3000,Karachi,2022-01-13,Es-136/01-22,2022-01-05,3000026108,2900014928,KHI
9200029323,3300,3020000709,Eastern Scientific,3000,30,Z01,1000,5,3000,Karachi,2022-01-13,Es-135/01-22,2022-01-05,3000026111,2900014927,KHI
9200029326,3300,3020000427,H.A Enterprises,3000,30,Z01,1000,5,3000,Karachi,2022-01-13,HA 0401220002,2022-01-04,3000026088,2900014912,KHI
9200029327,3300,3020000455,Chemical Centre,3000,30,Z01,1000,5,3000,Karachi,2022-01-13,CC/22/284,2022-01-12,3000026263,2900015008,KHI
9200029332,3200,3020001497,Family Clinical Laboratory,3000,30,Z05,5000,10,2000,Multan,2022-01-13,LHR-22007,2022-01-12,3000026272,,MLT
9200029333,3200,3020001497,Family Clinical Laboratory,3000,30,Z05,5000,10,2000,Multan,2022-01-13,LHR-22007,2022-01-12,3300000755,,MLT
9200029334,3200,3020000936,Magma International,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-13,01/22/01,2022-01-12,3000026257,2900015002,RWP
9200029335,3200,3020000533,Alwin Scientific,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-13,18152,2021-11-17,3000025100,,RWP
9200029336,3200,3020001687,Dua Enterprises,3000,30,Z07,2000,5,2000,Rahim Yar Khan,2022-01-13,A-021/DUA/22,2022-01-05,3000026175,2900014947,MLT
9200029337,3200,3020000533,Alwin Scientific,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-13,18157,2021-12-22,3000026052,2900014810,RWP
9200029338,3200,3020001669,Aria International Company,3000,30,Z10,3000,5,1000,Peshawar,2022-01-13,2130/AIC-12/21,2021-12-22,3000026095,2900014856,PWR
9200029339,3300,3020000533,Alwin Scientific,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-13,18157,2021-12-22,3000026052,2900014810,RWP
9200029340,3300,3020000257,Biocare Enterprises,3000,30,Z09,3000,5,1000,Islamabad,2022-01-13,939,2022-01-11,3000026256,,RWP
9200029341,3300,3020000666,Diagnostic Links,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-13,DL/PO/MD/05,2022-01-06,3000026261,,RWP
9200029342,3300,3020001345,Advance Scientific,3000,30,Z08,2000,5,2000,Gujranwala,2022-01-13,42,2022-01-05,3000026245,2900014990,GRW
9200029350,3300,3020000317,Lab Line,3000,30,Z01,1000,5,3000,Karachi,2022-01-13,0996,2022-01-13,3000026282,2900015027,KHI
9200029355,3200,3020001345,Advance Scientific,3000,30,Z08,2000,5,2000,Gujranwala,2022-01-14,41,2022-01-03,3000026084,2900014906,GRW
9200029356,3200,3020000367,MyTest Lab,3000,30,Z07,2000,10,2000,Lahore,2022-01-14,LHR-22005,2022-01-12,3000026285,,LHR
9200029357,3200,3020001598,MB Traders,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-14,MB0053,2022-01-04,3000026276,,RWP
9200029358,3200,3020000367,MyTest Lab,3000,30,Z07,2000,10,2000,Lahore,2022-01-14,LHR-22005,2022-01-12,3300000756,,LHR
9200029359,3200,3020001598,MB Traders,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-14,MB0053,2022-01-04,3000026276,,RWP
9200029360,3200,3020001598,MB Traders,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-14,MB0053,2022-01-04,3300000754,,RWP
9200029361,3200,3020000262,Chempure,3000,30,Z07,2000,5,2000,Lahore,2022-01-14,815,2021-11-26,3000025315,2900014378,LHR
9200029362,3200,3020001345,Advance Scientific,3000,30,Z08,2000,5,2000,Gujranwala,2022-01-14,42,2022-01-05,3000026245,2900014990,GRW
9200029363,3200,3020000666,Diagnostic Links,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-14,DL/PO/MD/06,2022-01-12,3000026262,2900015010,RWP
9200029364,3200,3020000257,Biocare Enterprises,3000,30,Z09,3000,5,1000,Islamabad,2022-01-14,938,2022-01-08,3000026259,,RWP
9200029365,3200,3020000257,Biocare Enterprises,3000,30,Z09,3000,5,1000,Islamabad,2022-01-14,939,2022-01-11,3000026256,,RWP
9200029366,3200,3020001656,M.Z Traders,3000,30,Z09,3000,5,1000,Peshawar,2022-01-14,251021,2021-10-25,3000024949,,PWR
