"Id","AG_OG__c","DGroup__c"
"a0GBK000003rmU12AI","E-CC-REF","Reagent"
"a0GBK000003rmU22AI","A-HM-REAG","Reagent"
"a0GBK000003rmU32AI","A-HM-REAG","Reagent"
"a0GBK000003rmU42AI","A-HM-REAG","Reagent"
"a0GBK000003rmU52AI","A-HM-REAG","Reagent"
"a0GBK000003rmU62AI","ER-ELCT-CON","Reagent"
"a0GBK000003rmU72AI","E-CC-REF","Reagent"
"a0GBK000003rmU82AI","E-CC-REF","Reagent"
"a0GBK000003rmU92AI","E-CC-REF","Reagent"
"a0GBK000003rmUA2AY","E-CC-REF","Reagent"
"a0GBK000003rmUB2AY","E-CC-REF","Reagent"
"a0GBK000003rmUC2AY","ER-ELCT-CON","Reagent"
"a0GBK000003rmUD2AY","E-CC-INST","Instrument/Part"
"a0GBK000003rmUE2AY","E-CC-REF","Reagent"
"a0GBK000003rmUF2AY","E-CC-REF","Reagent"
"a0GBK000003rmUG2AY","E-CC-REF","Reagent"
"a0GBK000003rmUH2AY","E-CC-REF","Reagent"
"a0GBK000003rmUI2AY","E-CC-REF","Reagent"
"a0GBK000003rmUJ2AY","E-CC-REF","Reagent"
"a0GBK000003rmUK2AY","E-CC-REF","Reagent"
"a0GBK000003rmUL2AY","E-CC-REF","Reagent"
"a0GBK000003rmUM2AY","E-CC-REF","Reagent"
"a0GBK000003rmUN2AY","E-CC-REF","Reagent"
"a0GBK000003rmUO2AY","E-CC-REF","Reagent"
"a0GBK000003rmUP2AY","E-CC-REF","Reagent"
"a0GBK000003rmUQ2AY","E-CC-REF","Reagent"
"a0GBK000003rmUR2AY","E-CC-REF","Reagent"
"a0GBK000003rmUS2AY","A-HM-REAG","Reagent"
"a0GBK000003rmUT2AY","A-HM-REAG","Reagent"
"a0GBK000003rmUU2AY","YHLO-IMA-C","Reagent"
"a0GBK000003rmUV2AY","YHLO-IMA-R","Reagent"
"a0GBK000003rmUW2AY","YHLO-IMA-R","Reagent"
"a0GBK000003rmUX2AY","YHLO-IMA-R","Reagent"
"a0GBK000003rmUY2AY","YHLO-IMA-R","Reagent"
"a0GBK000003rmUZ2AY","YHLO-IMA-R","Reagent"
"a0GBK000003rmUa2AI","YHLO-IMA-C","Reagent"
"a0GBK000003rmUb2AI","YHLO-IMA-R","Reagent"
"a0GBK000003rmUc2AI","E-CC-REF","Reagent"
"a0GBK000003rmUd2AI","E-CC-PART","Instrument/Part"
"a0GBK000003rmUe2AI","E-CC-PART","Instrument/Part"
"a0GBK000003rmUf2AI","E-CC-PART","Instrument/Part"
"a0GBK000003rmUg2AI","E-CC-REF","Reagent"
"a0GBK000003rmUh2AI","E-CC-REF","Reagent"
"a0GBK000003rmUi2AI","E-CC-REF","Reagent"
"a0GBK000003rmUj2AI","E-CC-REF","Reagent"
"a0GBK000003rmUk2AI","YHLO-IMA-R","Reagent"
"a0GBK000003rmUl2AI","YHLO-IMA-C","Reagent"
"a0GBK000003rmUm2AI","YHLO-IMA-R","Reagent"
"a0GBK000003rmUn2AI","E-CC-REF","Reagent"
"a0GBK000003rmUo2AI","E-CC-REF","Reagent"
"a0GBK000003rmUp2AI","E-CC-REF","Reagent"
"a0GBK000003rmUq2AI","ER-COAG-REAG","Reagent"
"a0GBK000003rmUr2AI","ER-COAG-REAG","Reagent"
"a0GBK000003rmUs2AI","ER-ELCT-CON","Reagent"
"a0GBK000003rmUt2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmUu2AI","OR-IMA-CON","Reagent"
"a0GBK000003rmUv2AI","OR-IMA-CON","Reagent"
"a0GBK000003rmUw2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmUx2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmUy2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmUz2AI","A-HM-INST","Instrument/Part"
"a0GBK000003rmV02AI","E-CC-REAG-M","Reagent"
"a0GBK000003rmV12AI","E-CC-REAG-M","Reagent"
"a0GBK000003rmV22AI","E-CC-REAG-M","Reagent"
"a0GBK000003rmV32AI","E-CC-REAG-M","Reagent"
"a0GBK000003rmV42AI","E-CC-PART","Instrument/Part"
"a0GBK000003rmV52AI","E-CC-PART","Instrument/Part"
"a0GBK000003rmV62AI","NV-ABG-CON","Reagent"
"a0GBK000003rmV72AI","NV-ABG-CON","Reagent"
"a0GBK000003rmV82AI","NV-ABG-CON","Reagent"
